count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
16434,N,2019,7/5/2019,12,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,11,29,850,43,360,14,18,10,1,2,2,47,1329
16434,S,2019,7/5/2019,17,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,6,21,1033,40,125,6,1,1,1,1,0,10,1229
16434,S,2019,7/5/2019,9,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,22,74,926,52,218,32,3,9,2,6,2,54,1324
16434,N,2019,7/5/2019,9,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,6,17,707,49,217,9,17,9,1,1,1,38,1028
16434,S,2019,7/5/2019,11,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,14,38,933,41,228,21,2,6,1,1,0,31,1271
16434,S,2019,7/5/2019,13,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,9,48,995,37,190,21,2,11,1,2,0,37,1307
16434,S,2019,7/5/2019,12,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,7,43,982,40,227,14,5,7,2,1,1,30,1322
16434,N,2019,7/5/2019,15,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,12,23,881,42,316,21,11,15,1,5,4,57,1319
16434,S,2019,7/5/2019,16,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,9,37,1046,46,132,8,0,1,1,2,0,12,1273
16434,N,2019,7/5/2019,14,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,6,30,832,40,357,15,12,14,2,1,2,46,1305
16434,S,2019,7/5/2019,10,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,15,50,908,44,230,25,4,8,1,0,2,40,1272
16434,N,2019,7/5/2019,7,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,8,13,569,30,125,18,9,5,3,0,0,35,772
16434,S,2019,7/5/2019,7,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,27,116,692,50,545,55,5,10,7,5,3,85,1488
16434,S,2019,7/5/2019,8,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,47,108,735,46,242,28,3,15,3,5,3,57,1188
16434,N,2019,7/5/2019,10,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,8,13,737,35,231,28,5,4,9,0,0,46,1062
16434,N,2019,7/5/2019,17,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,18,48,990,45,248,7,1,1,2,2,3,16,1347
16434,N,2019,7/5/2019,8,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,2,9,717,34,209,17,7,8,2,1,0,35,1004
16434,S,2019,7/5/2019,15,6,London,145,Camden,A41,Major,Adelaide Road roundabout,A598,526150,185000,51.549797,-0.18200533,2.5,1.55,11,40,977,51,185,14,3,10,1,0,3,31,1284
17170,N,2019,9/17/2019,16,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,44,49,314,27,116,7,1,3,0,0,0,11,517
17170,N,2019,9/17/2019,8,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,41,14,229,24,97,17,4,0,0,1,0,22,386
17170,N,2019,9/17/2019,14,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,18,63,271,27,107,9,1,3,0,0,0,13,481
17170,N,2019,9/17/2019,17,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,76,61,353,27,83,3,2,2,0,2,0,9,533
17170,N,2019,9/17/2019,9,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,37,20,234,31,83,16,3,0,0,0,0,19,387
17170,N,2019,9/17/2019,12,6,London,145,Camden,A502,Major,A400/A503,Castlehaven Road,528830,184000,51.540205,-0.14374061,0.4,0.25,20,44,239,21,93,9,2,3,0,0,0,14,411
